,movie,imdb,votes,mpaa,genre,director,writer,actor,country,budget,box_office_wknd1,box_office_dom,box_office_gross,prod_company,runtime
0,The Invisible Man,7.1,136012.0,R,Horror,Leigh Whannell,Leigh Whannell,Elisabeth Moss,Canada,7000000.0,28205665.0,64914050.0,130722137.0,Universal Pictures,124.0
1,On the Basis of Sex,7.1,23877.0,PG-13,Biography,Mimi Leder,Daniel Stiepleman,Felicity Jones,USA,20000000.0,686355.0,24704837.0,38755900.0,Alibaba Pictures,120.0
2,The Gentlemen,7.9,188297.0,R,Action,Guy Ritchie,Guy Ritchie,Matthew McConaughey,UK,22000000.0,10651884.0,36471795.0,115171795.0,STX Films,113.0
3,Knives Out,7.9,394738.0,PG-13,Comedy,Rian Johnson,Rian Johnson,Daniel Craig,USA,40000000.0,26769548.0,165363234.0,309232797.0,Lionsgate,130.0
4,Bastille Day,6.3,36373.0,R,Action,James Watkins,Andrew Baldwin,Idris Elba,UK,20000000.0,41546.0,50269.0,14857808.0,StudioCanal,92.0
5,Joker,8.5,875017.0,R,Crime,Todd Phillips,Todd Phillips,Joaquin Phoenix,USA,55000000.0,96202337.0,335451311.0,1074251311.0,Warner Bros.,122.0
6,Avengers: Endgame,8.4,767481.0,PG-13,Action,"Anthony Russo, Joe Russo",Christopher Markus,Robert Downey Jr.,USA,356000000.0,357115007.0,858373000.0,2797800564.0,Marvel Studios,181.0
7,Terminator: Dark Fate,6.2,136461.0,R,Action,Tim Miller,David S. Goyer,Linda Hamilton,USA,185000000.0,29033832.0,62253077.0,261119292.0,Paramount Pictures,128.0
8,Once Upon a Time... in Hollywood,7.6,517082.0,R,Comedy,Quentin Tarantino,Quentin Tarantino,Leonardo DiCaprio,USA,90000000.0,41082018.0,142502728.0,374343626.0,Columbia Pictures,161.0
9,Beauty and the Beast,7.1,266347.0,PG,Family,Bill Condon,Stephen Chbosky,Emma Watson,USA,160000000.0,174750616.0,504481165.0,1264064386.0,Mandeville Films,129.0
10,Gemini Man,5.7,78283.0,PG-13,Action,Ang Lee,David Benioff,Will Smith,China,138000000.0,20552372.0,48546770.0,173469516.0,Skydance Media,117.0
11,Black Panther,7.3,609003.0,PG-13,Action,Ryan Coogler,Ryan Coogler,Chadwick Boseman,USA,200000000.0,202003951.0,700426566.0,1347426487.0,Marvel Studios,134.0
12,Ford v Ferrari,8.1,262455.0,PG-13,Action,James Mangold,Jez Butterworth,Matt Damon,USA,97600000.0,31474958.0,117624357.0,225508210.0,Chernin Entertainment,152.0
13,Jojo Rabbit,7.9,262820.0,PG-13,Comedy,Taika Waititi,Christine Leunens,Roman Griffin Davis,New Zealand,14000000.0,349555.0,33370906.0,90335025.0,TSG Entertainment,108.0
14,After,5.3,32639.0,PG-13,Drama,Jenny Gage,Susan McMartin,Josephine Langford,USA,14000000.0,6002349.0,12138565.0,69746452.0,CalMaple,105.0
15,Doctor Sleep,7.4,126915.0,R,Drama,Mike Flanagan,Mike Flanagan,Ewan McGregor,UK,45000000.0,14114124.0,31581712.0,72381712.0,Warner Bros.,152.0
16,Bombshell,6.8,73350.0,R,Biography,Jay Roach,Charles Randolph,Charlize Theron,Canada,32000000.0,319157.0,31762808.0,59636523.0,Creative Wealth Media Finance,109.0
